url,title,seendate,domain,language,sourcecountry,query_keyword,query_start,query_end,url_mobile,socialimage
https://www.thehindu.com/elections/kerala-assembly/congress-to-highlight-sabarimala-corruption-charges-udf-confident-of-sweeping-mandate-in-kerala-says-kpcc-chief-sunny-joseph/article70771635.ece,"Congress to highlight Sabarimala , corruption charges ; UDF confident of sweeping mandate in Kerala , says KPCC chief Sunny Joseph",20260323T161500Z,thehindu.com,English,India,human wildlife conflict,2025-12-24,2026-03-24,https://www.thehindu.com/elections/kerala-assembly/congress-to-highlight-sabarimala-corruption-charges-udf-confident-of-sweeping-mandate-in-kerala-says-kpcc-chief-sunny-joseph/article70771635.ece/amp/,https://th-i.thgim.com/public/incoming/gioyr3/article70775505.ece/alternates/LANDSCAPE_1200/KPCC-president-GDHF9M9MS.3.jpg.jpg
https://timesofindia.indiatimes.com/city/jaipur/camera-traps-spot-rare-caracals-in-jaisalmer-forest-dept-ramps-up-monitoring/articleshow/129746628.cms,"Endangered wild cat sighted in Jaisalmer , forest dept ramps up monitoring | Jaipur News",20260323T084500Z,timesofindia.indiatimes.com,English,India,human wildlife conflict,2025-12-24,2026-03-24,https://timesofindia.indiatimes.com/city/jaipur/camera-traps-spot-rare-caracals-in-jaisalmer-forest-dept-ramps-up-monitoring/amp_articleshow/129746628.cms,"https://static.toiimg.com/thumb/msid-129746665,width-1280,height-720,imgsize-54450,resizemode-6,overlay-toi_sw,pt-32,y_pad-600/photo.jpg"
https://pragativadi.com/woman-dies-after-monkey-pushes-her-from-roof-in-athagarh/,Monkey Attack Athagarh Woman Death Sparks Outrage - Pragativadi I Latest Odisha News in English I Breaking News,20260322T190000Z,pragativadi.com,English,India,human wildlife conflict,2025-12-24,2026-03-24,,https://pragativadi.com/wp-content/uploads/2026/03/monkey-attack.png
https://www.thehindu.com/elections/kerala-assembly/voting-behaviour-of-christian-community-draws-parties-attention/article70772428.ece,Kerala Assembly Elections 2026 : Voting behaviour of Christian community draws partie attention,20260322T160000Z,thehindu.com,English,India,human wildlife conflict,2025-12-24,2026-03-24,https://www.thehindu.com/elections/kerala-assembly/voting-behaviour-of-christian-community-draws-parties-attention/article70772428.ece/amp/,https://www.thehindu.com/theme/images/og-image.png
https://www.thehindu.com/news/national/karnataka/human-wildlife-conflict-in-kodagu-ponnanna-seeks-more-central-funding/article70769294.ece,Human - wildlife conflict in Kodagu : Ponnanna seeks more Central funding,20260321T141500Z,thehindu.com,English,India,human wildlife conflict,2025-12-24,2026-03-24,https://www.thehindu.com/news/national/karnataka/human-wildlife-conflict-in-kodagu-ponnanna-seeks-more-central-funding/article70769294.ece/amp/,https://th-i.thgim.com/public/incoming/r2w5x/article70769369.ece/alternates/LANDSCAPE_1200/2303_21_3_2026_18_29_41_1_KODAGUPC.JPEG
https://www.barandbench.com/news/nagpur-bench-of-bombay-high-court-turns-23-news-reports-into-suo-motu-pils-in-2026,Nagpur Bench of Bombay High Court turned 23 news reports into suo motu PILs in 2026,20260321T090000Z,barandbench.com,English,India,human wildlife conflict,2025-12-24,2026-03-24,https://www.barandbench.com/amp/story/news/nagpur-bench-of-bombay-high-court-turns-23-news-reports-into-suo-motu-pils-in-2026,https://media.assettype.com/barandbench%2F2021-01%2F5125d0fe-112a-4434-9f03-340e280c2f94%2FNagpur_Bench.jpg?&ar=40%3A21&auto=format%2Ccompress&ogImage=true&mode=crop&enlarge=true&overlay=false&overlay_position=bottom&overlay_width=100
https://www.thehindu.com/news/national/karnataka/kodagu-district-accounts-for-38-of-states-human-wildlife-conflict-deaths-minister/article70765572.ece,Kodagu district accounts for 38 % of State human - wildlife conflict deaths : Minister,20260320T133000Z,thehindu.com,English,India,human wildlife conflict,2025-12-24,2026-03-24,https://www.thehindu.com/news/national/karnataka/kodagu-district-accounts-for-38-of-states-human-wildlife-conflict-deaths-minister/article70765572.ece/amp/,https://th-i.thgim.com/public/incoming/r56yho/article70765758.ece/alternates/LANDSCAPE_1200/6702_27_10_2025_19_10_54_1_ESHWARKHANDRE.JPG
https://www.mid-day.com/mumbai/mumbai-news/article/mumbai-conflict-emerges-over-sgnp-boundary-wall-as-locals-resist-restricted-forest-access-23621661,Mumbai : Conflict emerges over SGNP boundary wall as locals resist restricted forest access,20260320T031500Z,mid-day.com,English,India,human wildlife conflict,2025-12-24,2026-03-24,https://www.mid-day.com/amp/mumbai/mumbai-news/article/mumbai-conflict-emerges-over-sgnp-boundary-wall-as-locals-resist-restricted-forest-access-23621661,https://images.mid-day.com/images/images/2026/mar/National-Park-a-1773962313904_d.png
https://www.livelaw.in/high-court/kerala-high-court/roadmap-human-wildlife-conflict-aralam-wayanad-review-may-526754,"Kerala Govt Proposes Three - Pillar Strategy To Address Human - Wildlife Conflict , Submits Report To High Court",20260317T180000Z,livelaw.in,English,India,human wildlife conflict,2025-12-24,2026-03-24,https://www.livelaw.in/amp/high-court/kerala-high-court/roadmap-human-wildlife-conflict-aralam-wayanad-review-may-526754,https://www.livelaw.in/h-upload/2022/09/01/433241-elephant.jpg
https://timesofindia.indiatimes.com/city/bhubaneswar/65-year-old-trampled-to-death-by-tusker/articleshow/129615762.cms,65 - year - old trampled to death by tusker | Bhubaneswar News,20260316T221500Z,timesofindia.indiatimes.com,English,India,elephant attack,2025-12-24,2026-03-24,https://timesofindia.indiatimes.com/city/bhubaneswar/65-year-old-trampled-to-death-by-tusker/amp_articleshow/129615762.cms,https://static.toiimg.com/photo/msid-47529300/47529300.jpg
