url,title,pub_date,gdelt_lat,gdelt_lon,fetch_method,is_hwc_event,species,event_type,event_date,primary_location,location_type,confidence,final_lat,final_lon,geocode_source,_error,article_chars,humans_killed,humans_injured,animals_killed,animals_injured,location_notes,gdelt_location_match,extraction_notes,geocoded_address,event_id
https://www.thehindu.com/elections/kerala-assembly/congress-to-highlight-sabarimala-corruption-charges-udf-confident-of-sweeping-mandate-in-kerala-says-kpcc-chief-sunny-joseph/article70771635.ece,"Congress to highlight Sabarimala , corruption charges ; UDF confident of sweeping mandate in Kerala , says KPCC chief Sunny Joseph",20260323T161500Z,17698.0,11.8333,failed,,,,,,,,17698.0,11.8333,gdelt_fallback_no_text,article fetch failed,,,,,,,,,,7d624892-9b3f-5014-a553-2413d197e95e
https://timesofindia.indiatimes.com/city/jaipur/camera-traps-spot-rare-caracals-in-jaisalmer-forest-dept-ramps-up-monitoring/articleshow/129746628.cms,"Endangered wild cat sighted in Jaisalmer , forest dept ramps up monitoring | Jaipur News",20260323T084500Z,17848.0,26.9167,failed,,,,,,,,17848.0,26.9167,gdelt_fallback_no_text,article fetch failed,,,,,,,,,,ce5bc369-8c92-555e-942d-e0ea2d369754
https://pragativadi.com/woman-dies-after-monkey-pushes-her-from-roof-in-athagarh/,Monkey Attack Athagarh Woman Death Sparks Outrage - Pragativadi I Latest Odisha News in English I Breaking News,20260322T190000Z,17736.0,24.7333,jina,True,monkey,attack_on_human,2026-03-22,"Rajnagar, Athagarh, Odisha, India",village,high,20.4903995,85.6807271,google_maps,,5629.0,1.0,,,,Rajnagar village under Athagarh Sadar Range,"Athagarh, Orissa, India",Specific details provided in the article.,"Rajanagar, Odisha 754295, India",3a71b181-459d-5257-8f7a-027cd3678945
https://www.thehindu.com/elections/kerala-assembly/voting-behaviour-of-christian-community-draws-parties-attention/article70772428.ece,Kerala Assembly Elections 2026 : Voting behaviour of Christian community draws partie attention,20260322T160000Z,70298.0,9.49417,failed,,,,,,,,70298.0,9.49417,gdelt_fallback_no_text,article fetch failed,,,,,,,,,,917ccf42-3e92-5a06-b4c8-bd8013605771
https://www.thehindu.com/news/national/karnataka/human-wildlife-conflict-in-kodagu-ponnanna-seeks-more-central-funding/article70769294.ece,Human - wildlife conflict in Kodagu : Ponnanna seeks more Central funding,20260321T141500Z,17689.0,12.4167,failed,,,,,,,,17689.0,12.4167,gdelt_fallback_no_text,article fetch failed,,,,,,,,,,811ad97e-2906-530d-baf8-2e4c95fd8c11
https://www.barandbench.com/news/nagpur-bench-of-bombay-high-court-turns-23-news-reports-into-suo-motu-pils-in-2026,Nagpur Bench of Bombay High Court turned 23 news reports into suo motu PILs in 2026,20260321T090000Z,17725.0,21.5533,failed,,,,,,,,17725.0,21.5533,gdelt_fallback_no_text,article fetch failed,,,,,,,,,,e7d20393-57f6-5658-8bc5-5453b4fa516f
https://www.thehindu.com/news/national/karnataka/kodagu-district-accounts-for-38-of-states-human-wildlife-conflict-deaths-minister/article70765572.ece,Kodagu district accounts for 38 % of State human - wildlife conflict deaths : Minister,20260320T133000Z,70159.0,12.9833,failed,,,,,,,,70159.0,12.9833,gdelt_fallback_no_text,article fetch failed,,,,,,,,,,c7053939-52c9-5680-8837-b1e830534092
https://www.mid-day.com/mumbai/mumbai-news/article/mumbai-conflict-emerges-over-sgnp-boundary-wall-as-locals-resist-restricted-forest-access-23621661,Mumbai : Conflict emerges over SGNP boundary wall as locals resist restricted forest access,20260320T031500Z,70184.0,18.975,jina,False,,,,,,high,70184.0,18.975,gdelt_fallback,,4888.0,,,,,,,"No specific HWC incident reported, only conflict over boundary wall construction.",,36de23ee-378f-57db-8d18-99c5191f7d72
https://www.livelaw.in/high-court/kerala-high-court/roadmap-human-wildlife-conflict-aralam-wayanad-review-may-526754,"Kerala Govt Proposes Three - Pillar Strategy To Address Human - Wildlife Conflict , Submits Report To High Court",20260317T180000Z,17699.0,10.0,jina,False,,,,,,high,17699.0,10.0,gdelt_fallback,,1012.0,,,,,,,"Article discusses policy and roadmap, no specific HWC event",,fa6ab2fc-069b-5055-bbd0-af79b0c909b2
https://timesofindia.indiatimes.com/city/bhubaneswar/65-year-old-trampled-to-death-by-tusker/articleshow/129615762.cms,65 - year - old trampled to death by tusker | Bhubaneswar News,20260316T221500Z,17811.0,19.3833,failed,,,,,,,,17811.0,19.3833,gdelt_fallback_no_text,article fetch failed,,,,,,,,,,9298671e-98ce-5c80-8a70-5e8c080e3c46
https://www.mid-day.com/news/india-news/article/maharashtra-people-chase-tiger-on-road-near-tadoba-andhari-tiger-reserve-experts-warn-of-tragedy-23621082,"Maharashtra : People chase tiger on road near Tadoba - Andhari Tiger Reserve , experts warn of tragedy",20260316T163000Z,17763.0,19.95,failed,,,,,,,,17763.0,19.95,gdelt_fallback_no_text,article fetch failed,,,,,,,,,,661f7f6b-4df7-5251-9db1-863e562f2330
https://www.thehindu.com/elections/kerala-assembly/ldf-seeks-third-term-udf-readies-to-end-10-year-drought-bjp-a-bystander/article70749515.ece,"Kerala Assembly polls 2026 | LDF seeks third term , UDF readies to end 10 - year drought ; BJP a bystander",20260316T151500Z,17698.0,11.8667,failed,,,,,,,,17698.0,11.8667,gdelt_fallback_no_text,article fetch failed,,,,,,,,,,c7ac0c06-2b69-59b8-b967-817ad5d16cb7
https://starofmysore.com/wildlife-her-calling/,"Wildlife , her calling - Star of Mysore",20260315T131500Z,17692.0,12.3072,jina,False,,,,,,high,17692.0,12.3072,gdelt_fallback,,11600.0,,,,,,,No specific HWC event described in the article,,69df1c2c-a72e-5d4c-b422-b1389b96c2d1
https://dailypioneer.com/news/the-tirthan-a-study-in-riverine-conservation,The Tirthan A Study in Riverine Conservation,20260314T134500Z,17847.0,27.3667,jina,False,,,,,,high,17847.0,27.3667,gdelt_fallback,,10730.0,,,,,,,No specific HWC event described in the article.,,de013428-6a40-5e46-a64c-a02915b9baf6
https://www.thehindu.com/news/national/maharashtra/41-of-166-tiger-deaths-in-country-last-year-reported-in-maharashtra/article70742772.ece,41 of 166 tiger deaths in country last year reported in Maharashtra,20260314T133000Z,17784.0,21.15,failed,,,,,,,,17784.0,21.15,gdelt_fallback_no_text,article fetch failed,,,,,,,,,,909d451e-8118-560f-b101-08cbc1a217e8
https://timesofindia.indiatimes.com/city/mysuru/3-elephant-attack-deaths-in-10-days-mla-warns-of-public-anger/articleshow/129561617.cms,"3 elephant attack deaths in 10 days , MLA warns of public anger | Mysuru News",20260313T190000Z,17689.0,12.4167,failed,,,,,,,,17689.0,12.4167,gdelt_fallback_no_text,article fetch failed,,,,,,,,,,e17f5977-e750-59da-bfdc-a8d16bb1020b
https://www.hindustantimes.com/india-news/coffee-grower-trampled-to-death-in-elephant-attack-in-karnatakas-madikeri-101773370662213.html,Coffee grower trampled to death in elephant attack in Karnataka Madikeri,20260313T041500Z,17689.0,12.4167,failed,,,,,,,,17689.0,12.4167,gdelt_fallback_no_text,article fetch failed,,,,,,,,,,0df1024a-1d18-5c7d-a94a-51298ec0ee8e
https://www.hindustantimes.com/india-news/kuno-conservation-model-expanded-as-tiger-marks-territory-101773342839025.html,Kuno conservation model expanded as tiger marks territory,20260313T013000Z,17593.0,26.6,failed,,,,,,,,17593.0,26.6,gdelt_fallback_no_text,article fetch failed,,,,,,,,,,2aaf8080-328a-5b7d-b7df-c60d5eb97a31
https://www.thehindu.com/news/national/karnataka/tree-felling-banned-in-view-of-likely-increase-in-demand-for-firewood/article70735947.ece,Tree felling banned in view of likely increase in demand for firewood,20260312T154500Z,17769.0,15.8667,failed,,,,,,,,17769.0,15.8667,gdelt_fallback_no_text,article fetch failed,,,,,,,,,,26a14da5-8d7c-5622-9b47-a40b50618b0d
